MunicipioNombre,MunicipioCongresoPartidoSiglas,MunicipioCongresoPartidoPorcenVotos,Segundo,%Segundo,Tercero,%Tercero,Cuarto,%Cuarto,Code
Torres de la Alameda,PP,43.38,P.S.O.E.,19.21,MÁS MADRID,14.36,VOX,12.35,28154

Valdaracete,PP,39.79,P.S.O.E.,35.6,VOX,10.21,MÁS MADRID,7.33,28155

Valdeavero,PP,41.98,P.S.O.E.,19.54,VOX,16.04,MÁS MADRID,12.67,28156

Valdelaguna,PP,49.74,MÁS MADRID,15.13,VOX,13.04,P.S.O.E.,12.35,28157

Valdemanco,PP,52.66,MÁS MADRID,12.35,P.S.O.E.,12.01,VOX,11.84,28158

Valdemaqueda,PP,45.63,P.S.O.E.,16.67,VOX,15,MÁS MADRID,12.5,28159

Valdemorillo,PP,47.26,MÁS MADRID,14.06,P.S.O.E.,13.85,VOX,13.45,28160

Valdemoro,PP,45.24,MÁS MADRID,16.23,P.S.O.E.,14.35,VOX,12.94,28161

Valdeolmos-Alalpardo,PP,53.81,VOX,13.23,MÁS MADRID,11.95,P.S.O.E.,11.23,28162

Valdepiélagos,PP,38.51,MÁS MADRID,21.26,P.S.O.E.,19.54,PODEMOS-IU,8.33,28163

Valdetorres de Jarama,PP,48.64,VOX,14.87,P.S.O.E.,13.79,MÁS MADRID,12.47,28164

Valdilecha,PP,55.91,VOX,14.92,P.S.O.E.,14.17,MÁS MADRID,8.18,28165

Valverde de Alcalá,PP,44.11,P.S.O.E.,19.53,MÁS MADRID,12.46,VOX,11.78,28166

Velilla de San Antonio,PP,40.85,MÁS MADRID,20.74,P.S.O.E.,17.07,VOX,9.32,28167

El Vellón,PP,46.88,P.S.O.E.,16.52,MÁS MADRID,14.34,VOX,11.67,2816

Venturada,PP,47.55,VOX,16.97,MÁS MADRID,13.18,P.S.O.E.,10.94,28169

Villaconejos,PP,44.46,P.S.O.E.,18.42,VOX,16.57,MÁS MADRID,10.19,28170

Villa del Prado,PP,49.52,P.S.O.E.,17.67,VOX,13.75,MÁS MADRID,10.87,28171

Villalbilla,PP,50.3,VOX,13.55,MÁS MADRID,12.85,P.S.O.E.,12.01,28172

Villamanrique de Tajo,PP,49.56,P.S.O.E.,20.22,MÁS MADRID,9.78,VOX,9.56,28173

Villamanta,PP,49.89,P.S.O.E.,16.9,VOX,13.64,MÁS MADRID,11.12,28174
Villamantilla,PP,48.89,VOX,13.78,MÁS MADRID,12.61,P.S.O.E.,11.7,28175

Villanueva de la Cañada,PP,59.23,VOX,12.86,MÁS MADRID,9.93,P.S.O.E.,9.55,28176

Villanueva del Pardillo,PP,55.37,P.S.O.E.,11.99,MÁS MADRID,11.98,VOX,11.54,28177

Villanueva de Perales,PP,46.72,VOX,15.91,P.S.O.E.,15.02,MÁS MADRID,12.79,28178

Villar del Olmo,PP,48.27,VOX,14.1,P.S.O.E.,13.32,MÁS MADRID,12.89,28179

Villarejo de Salvanés,PP,41.66,P.S.O.E.,25.06,MÁS MADRID,12.52,VOX,10.21,28180

Villaviciosa de Odón,PP,57.3,P.S.O.E.,12.34,VOX,11.14,MÁS MADRID,10.5,28181

Villavieja del Lozoya,PP,39.89,MÁS MADRID,22.95,P.S.O.E.,15.3,PODEMOS-IU,8.74,28182

Zarzalejo,PP,36.21,MÁS MADRID,20.57,P.S.O.E.,17.01,PODEMOS-IU,15.75,28183

Lozoyuela-Navas-Sieteiglesias,PP,46.75,MÁS MADRID,16.31,P.S.O.E.,16.16,PODEMOS-IU,8.66,28901

Puentes Viejas,PP,45,MÁS MADRID,18.86,VOX,11.14,P.S.O.E.,10.68,28902

Tres Cantos,PP,44.76,MÁS MADRID,17.95,P.S.O.E.,15.8,VOX,7.77,28903
